buss_id,loc_id,r1_number,r1_number_parent,parent_loc_name,zip_name,zipcode,city,state,country,phone_no,lat,lng,page_content
51,22701,7028,7028,"bluefrog Plumbing + Drain of Porter County","Bluefrog Plumbing and Drain SERVING IN IN",46302,"BOONE GROVE"," IN",,,,,
51,22701,7028,7028,"bluefrog Plumbing + Drain of Porter County","Bluefrog Plumbing and Drain SERVING IN IN",46304,CHESTERTON," IN",,,,,
51,22701,7028,7028,"bluefrog Plumbing + Drain of Porter County","Bluefrog Plumbing and Drain SERVING IN IN",46342,HOBART," IN",,,,,
51,22701,7028,7028,"bluefrog Plumbing + Drain of Porter County","Bluefrog Plumbing and Drain SERVING IN IN",46347,KOUTS," IN",,,,,
51,22701,7028,7028,"bluefrog Plumbing + Drain of Porter County","Bluefrog Plumbing and Drain SERVING IN IN",46368,PORTAGE," IN",,,,,
51,22701,7028,7028,"bluefrog Plumbing + Drain of Porter County","Bluefrog Plumbing and Drain SERVING IN IN",46383,VALPARAISO," IN",,,,,
51,22701,7028,7028,"bluefrog Plumbing + Drain of Porter County","Bluefrog Plumbing and Drain SERVING IN IN",46384,VALPARAISO," IN",,,,,
51,22701,7028,7028,"bluefrog Plumbing + Drain of Porter County","Bluefrog Plumbing and Drain SERVING IN IN",46385,VALPARAISO," IN",,,,,
51,22701,7028,7028,"bluefrog Plumbing + Drain of Porter County","Bluefrog Plumbing and Drain SERVING IN IN",46996,WINAMAC," IN",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06401,ANSONIA," CT",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06403,"BEACON FALLS"," CT",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06405,BRANFORD," CT",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06408,CHESHIRE," CT",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06410,CHESHIRE," CT",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06411,CHESHIRE," CT",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06416,CROMWELL," CT",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06418,DERBY," CT",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06422,DURHAM," CT",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06437,GUILFORD," CT",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06443,MADISON," CT",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06450,MERIDEN," CT",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06451,MERIDEN," CT",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06455,MIDDLEFIELD," CT",,,,,
51,22736,7036,7036,"bluefrog Plumbing + Drain of Central Connecticut","Bluefrog Plumbing and Drain SERVING CT CT",06457,MIDDLETOWN," CT",,,,,
