buss_id,loc_id,r1_number,r1_number_parent,parent_loc_name,zip_name,zipcode,city,state,country,phone_no,lat,lng,page_content
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09855,APO," NJ",,,,,
50,19749,1059,1059,"Restoration 1 of North Fort Worth","RESTORATION 1 SERVING TX TX",76107,"FORT WORTH"," TX",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING GA GA",31901,COLUMBUS," GA",,,,,
50,19749,1059,1059,"Restoration 1 of North Fort Worth","RESTORATION 1 SERVING TX TX",76113,"FORT WORTH"," TX",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING GA GA",31904,COLUMBUS," GA",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09856,DPO," NJ",,,,,
50,19749,1059,1059,"Restoration 1 of North Fort Worth","RESTORATION 1 SERVING TX TX",76114,"FORT WORTH"," TX",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING GA GA",31906,COLUMBUS," GA",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09857,DPO," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36801,OPELIKA," AL",,,,,
50,19749,1059,1059,"Restoration 1 of North Fort Worth","RESTORATION 1 SERVING TX TX",76127,"NAVAL AIR STATION JRB"," TX",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09858,APO," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36802,OPELIKA," AL",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09859,FPO," NJ",,,,,
50,19749,1059,1059,"Restoration 1 of North Fort Worth","RESTORATION 1 SERVING TX TX",76147,"FORT WORTH"," TX",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36803,OPELIKA," AL",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09860,DPO," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36804,OPELIKA," AL",,,,,
50,19749,1059,1059,"Restoration 1 of North Fort Worth","RESTORATION 1 SERVING TX TX",76164,"FORT WORTH"," TX",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09861,APO," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36830,AUBURN," AL",,,,,
50,19749,1059,1059,"Restoration 1 of North Fort Worth","RESTORATION 1 SERVING TX TX",76166,"FORT WORTH"," TX",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09862,DPO," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36831,AUBURN," AL",,,,,
50,19749,1059,1059,"Restoration 1 of North Fort Worth","RESTORATION 1 SERVING TX TX",76439,DENNIS," TX",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09863,APO," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36832,AUBURN," AL",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09864,DPO," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36849,"AUBURN UNIVERSITY"," AL",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09867,DPO," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36852,CUSSETA," AL",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36854,VALLEY," AL",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09869,DPO," NJ",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06006,WINDSOR," CT",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",07010,"CLIFFSIDE PARK"," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36863,LANETT," AL",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06026,"EAST GRANBY"," CT",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",07024,"FORT LEE"," NJ",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06035,GRANBY," CT",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36867,"PHENIX CITY"," AL",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",07030,HOBOKEN," NJ",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06050,"NEW BRITAIN"," CT",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",07047,"NORTH BERGEN"," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36868,"PHENIX CITY"," AL",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06051,"NEW BRITAIN"," CT",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",07086,WEEHAWKEN," NJ",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06052,"NEW BRITAIN"," CT",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36869,"PHENIX CITY"," AL",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",07087,"UNION CITY"," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36870,"PHENIX CITY"," AL",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06053,"NEW BRITAIN"," CT",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",07093,"WEST NEW YORK"," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36872,VALLEY," AL",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06062,PLAINVILLE," CT",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",07094,SECAUCUS," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36874,SALEM," AL",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06064,POQUONOCK," CT",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",07096,SECAUCUS," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36875,SEALE," AL",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",07307,"JERSEY CITY"," NJ",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06081,TARIFFVILLE," CT",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36877,"SMITHS STATION"," AL",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06092,"WEST SIMSBURY"," CT",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09870,DPO," NJ",,,,,
50,19815,1213,1213,"Restoration 1 of East Alabama","RESTORATION 1 SERVING AL AL",36879,WAVERLY," AL",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06095,WINDSOR," CT",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09873,DPO," NJ",,,,,
50,22553,1278,1278,"Restoration 1 of Montgomery","RESTORATION 1 SERVING AL AL",36008,BOOTH," AL",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06111,NEWINGTON," CT",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09874,DPO," NJ",,,,,
50,22553,1278,1278,"Restoration 1 of Montgomery","RESTORATION 1 SERVING AL AL",36020,COOSADA," AL",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06131,NEWINGTON," CT",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09875,DPO," NJ",,,,,
50,22553,1278,1278,"Restoration 1 of Montgomery","RESTORATION 1 SERVING AL AL",36022,DEATSVILLE," AL",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06489,SOUTHINGTON," CT",,,,,
50,19599,1286,1286,"Restoration 1 of Bergen County","RESTORATION 1 SERVING NJ NJ",09876,APO," NJ",,,,,
50,19674,1068,1068,"Restoration 1 of Hartford County","RESTORATION 1 SERVING CT CT",06781,PEQUABUCK," CT",,,,,
50,22553,1278,1278,"Restoration 1 of Montgomery","RESTORATION 1 SERVING AL AL",36025,ELMORE," AL",,,,,
